dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
imdb,iid,4,107,1,3,0.8566,-0.0008,0.507121176745272,0.004205384816184,0.332105427980423,0.0001742541790008,0.7537777777777779,-0.0251333333333332,0.766058,-0.0006899999999999,-0.0008
imdb,iid,4,107,2,0,0.8606,-0.0003999999999999,0.4840808738089704,0.0025477727636742,0.3206590414047241,0.0011264979839324,0.7225555555555556,0.017711111111111,0.759836,0.0017079999999999,-0.0003999999999999
imdb,iid,4,107,2,1,0.8606,0.0016,0.4840808738089704,0.0037549133898784,0.3206590414047241,0.0048426389694213,0.7225555555555556,-0.0171999999999998,0.759836,-0.001422,0.0016
imdb,iid,4,107,2,2,0.8606,0.001,0.4840808738089704,0.0015308505423348,0.3206590414047241,0.0002501904964447,0.7225555555555556,0.0003999999999999,0.759836,0.0012479999999999,0.001
imdb,iid,4,107,2,3,0.8606,0.0,0.4840808738089704,0.0041831280501974,0.3206590414047241,-0.0006732642650604,0.7225555555555556,-0.0067777777777777,0.759836,-8.000000000008e-06,0.0
imdb,iid,4,107,3,0,0.8634,0.0011999999999999,0.4651378271948112,0.0028320976656996,0.3162356913089752,0.0026060938835144,0.7648666666666668,-0.0064666666666666,0.754746,0.0009599999999999,0.0011999999999999
imdb,iid,4,107,3,1,0.8634,0.0023999999999999,0.4651378271948112,-0.0043162959178484,0.3162356913089752,0.0033605992794036,0.7648666666666668,-0.0015333333333331,0.754746,-0.001688,0.0023999999999999
imdb,iid,4,107,3,2,0.8634,0.0019999999999998,0.4651378271948112,-0.0038661198681095,0.3162356913089752,0.00020432472229,0.7648666666666668,-0.0014222222222219,0.754746,0.00078,0.0019999999999998
imdb,iid,4,107,3,3,0.8634,-0.0014,0.4651378271948112,0.0023718697480027,0.3162356913089752,-0.0009182691574096,0.7648666666666668,-0.0036666666666664,0.754746,-6.999999999990347e-05,-0.0014
imdb,iid,4,107,4,0,0.8654,0.0,0.4557430090131731,0.0055465680610122,0.3120384812355041,0.0033344030380249,0.7530666666666668,-0.0048222222222222,0.751764,0.00068,0.0
imdb,iid,4,107,4,1,0.8654,0.0013999999999999,0.4557430090131731,0.0013448608650249,0.3120384812355041,0.0029340684413909,0.7530666666666668,0.0039333333333333,0.751764,-0.0005119999999999,0.0013999999999999
imdb,iid,4,107,4,2,0.8654,0.001,0.4557430090131731,-0.0028409798808574,0.3120384812355041,0.0004988312721252,0.7530666666666668,0.0090000000000001,0.751764,0.0002119999999999,0.001
imdb,iid,4,107,4,3,0.8654,-0.0014,0.4557430090131731,0.005350761666611,0.3120384812355041,-0.0011227130889892,0.7530666666666668,-0.0151555555555553,0.751764,-0.00051,-0.0014
imdb,iid,4,107,5,0,0.8704,0.0025999999999999,0.4427849264705882,0.0046655441244255,0.3069624304771423,0.0034044086933135,0.7583555555555557,0.010377777777778,0.747906,-0.000218,0.0025999999999999
imdb,iid,4,107,5,1,0.8704,0.0021999999999999,0.4427849264705882,2.9800923479317287e-05,0.3069624304771423,0.0025483965873718,0.7583555555555557,0.0179666666666666,0.747906,-0.000868,0.0021999999999999
imdb,iid,4,107,5,2,0.8704,0.001,0.4427849264705882,-0.0051101735984248,0.3069624304771423,0.0006603598594665,0.7583555555555557,-0.0064444444444444,0.747906,0.001236,0.001
imdb,iid,4,107,5,3,0.8704,0.0013999999999999,0.4427849264705882,0.0004374005787585,0.3069624304771423,-0.0008776783943176,0.7583555555555557,0.0090000000000001,0.747906,0.0001059999999999,0.0013999999999999
imdb,iid,4,107,6,0,0.8726,0.0002,0.4341049736419894,0.0099875962921499,0.3015477359294891,0.0038582384586334,0.7886,-0.0067555555555554,0.745004,0.001554,0.0002
imdb,iid,4,107,6,1,0.8726,0.0018,0.4341049736419894,0.0053038712074465,0.3015477359294891,0.0033349692821502,0.7886,-0.0115555555555555,0.745004,-0.00025,0.0018
imdb,iid,4,107,6,2,0.8726,-0.0001999999999999,0.4341049736419894,-0.0010462637548941,0.3015477359294891,0.0006051361560821,0.7886,0.0042444444444444,0.745004,0.0007859999999999,-0.0001999999999999
imdb,iid,4,107,6,3,0.8726,0.0022,0.4341049736419894,0.001660120700813,0.3015477359294891,-0.0012002885341644,0.7886,-0.0020444444444445,0.745004,-0.000452,0.0022
imdb,iid,4,107,7,0,0.8776,0.0,0.420464904284412,0.009799453053783,0.2947357594966888,0.0038870573043823,0.7102222222222223,-0.0160888888888888,0.741262,0.000506,0.0
imdb,iid,4,107,7,1,0.8776,0.004,0.420464904284412,-0.0005515792320714,0.2947357594966888,0.0030442178249359,0.7102222222222223,-0.0005111111111109,0.741262,-0.000314,0.004
