dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_fair,gtg_fair_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,global_gtg_fair_eo,gtg_fair_eo_contribution,gtg_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_gtg_loss,global_gtg_acc
cifar,noniid,20,42,4,16,0.9037519693374634,0.2033181998037523,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,17,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0715006310660559,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,18,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.014424427480916,2.6883978843688965,0.1348
cifar,noniid,20,42,4,19,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0065867886178861,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,5,0,0.7476580142974854,0.0,0.117827868852459,0.0,1.0,0.0,0.7111333333333332,0.0,,0.9503325783427776,0.0,0.0,0.1898,0.2837847693863818,0.1903110243064094,0.1320530980330898,2.454885959625244,0.0,0.0,2.454885959625244,0.1898
cifar,noniid,20,42,5,1,0.7476580142974854,0.0,0.117827868852459,0.0,1.0,0.0,0.7111333333333332,0.0,,0.9503325783427776,0.0,0.0,0.1898,0.2837847693863818,0.1903110243064094,0.1320530980330898,2.454885959625244,0.0,0.0161070422535211,2.454885959625244,0.1898
cifar,noniid,20,42,5,2,0.7476580142974854,0.0,0.117827868852459,0.0,1.0,0.0,0.7111333333333332,0.0032794321895424,,0.9503325783427776,0.0,0.0,0.1898,0.2837847693863818,0.1903110243064094,0.1320530980330898,2.454885959625244,0.0,-0.0120042253521126,2.454885959625244,0.1898
cifar,noniid,20,42,5,3,0.7476580142974854,0.074023898372698,0.117827868852459,0.0136214769531022,1.0,0.0,0.7111333333333332,0.0,,0.9503325783427776,0.0016623699256789,0.0016623699256789,0.1898,0.2837847693863818,0.1903110243064094,0.1320530980330898,2.454885959625244,0.0,0.0,2.454885959625244,0.1898
cifar,noniid,20,42,5,4,0.7476580142974854,0.0,0.117827868852459,0.0,1.0,0.0,0.7111333333333332,0.0057859885620914,,0.9503325783427776,0.0,0.0,0.1898,0.2837847693863818,0.1903110243064094,0.1320530980330898,2.454885959625244,0.0,0.0,2.454885959625244,0.1898
cifar,noniid,20,42,5,5,0.7476580142974854,0.0,0.117827868852459,0.0,1.0,0.0,0.7111333333333332,0.0,,0.9503325783427776,0.0,0.0,0.1898,0.2837847693863818,0.1903110243064094,0.1320530980330898,2.454885959625244,0.0,0.0,2.454885959625244,0.1898
