dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
imdb,noniid,4,107,8,0,0.8716,0.045,0.4339146397430014,-0.0526568579584261,0.310233324766159,0.0883267819881439,0.844211111111111,-0.0520111111111112,0.7492,-0.0108599999999999,0.045
imdb,noniid,4,107,8,1,0.8716,0.0118,0.4339146397430014,-0.0252619129436699,0.310233324766159,0.018401026725769,0.844211111111111,-0.0224777777777778,0.7492,-0.005658,0.0118
imdb,noniid,4,107,8,2,0.8716,0.0188,0.4339146397430014,-0.0217607823958354,0.310233324766159,0.027088850736618,0.844211111111111,-0.0090444444444446,0.7492,-0.00312,0.0188
imdb,noniid,4,107,8,3,0.8716,-0.002,0.4339146397430014,-0.0033564225280608,0.310233324766159,-0.0102129578590393,0.844211111111111,-0.0302777777777778,0.7492,-0.000102,-0.002
imdb,noniid,4,107,9,0,0.872,0.0412,0.4194954128440367,-0.0508945727120538,0.304695725440979,0.0862103402614593,0.7505111111111109,-0.1187111111111114,0.74567,-0.010224,0.0412
imdb,noniid,4,107,9,1,0.872,0.0068,0.4194954128440367,-0.0241014433741787,0.304695725440979,0.0174292922019958,0.7505111111111109,-0.0258000000000002,0.74567,-0.004502,0.0068
imdb,noniid,4,107,9,2,0.872,0.0183999999999999,0.4194954128440367,-0.0200547277370317,0.304695725440979,0.0303339064121246,0.7505111111111109,-0.0376666666666667,0.74567,-0.0018239999999999,0.0183999999999999
imdb,noniid,4,107,9,3,0.872,-0.0051999999999999,0.4194954128440367,-0.0016172182549145,0.304695725440979,-0.0089492499828338,0.7505111111111109,0.0148222222222218,0.74567,0.000564,-0.0051999999999999
imdb,noniid,4,107,10,0,0.875,0.0432,0.4059428571428571,-0.0533021536770514,0.3010310530662536,0.0874302387237548,0.7798888888888889,-0.0253333333333332,0.7415860000000001,-0.0108779999999999,0.0432
imdb,noniid,4,107,10,1,0.875,0.0116,0.4059428571428571,-0.024216976074655,0.3010310530662536,0.0192786753177642,0.7798888888888889,-0.0143333333333333,0.7415860000000001,-0.0053259999999999,0.0116
imdb,noniid,4,107,10,2,0.875,0.0185999999999999,0.4059428571428571,-0.018858637485821,0.3010310530662536,0.0308979749679565,0.7798888888888889,-0.0622444444444445,0.7415860000000001,-0.0021459999999999,0.0185999999999999
imdb,noniid,4,107,10,3,0.875,-0.005,0.4059428571428571,-0.0008753246753246,0.3010310530662536,-0.0094506740570068,0.7798888888888889,0.0563888888888888,0.7415860000000001,0.0006600000000001,-0.005
imdb,noniid,4,123,1,0,0.7682,0.2323999999999999,0.5946368133298621,-0.3392937577787606,0.4765021502971649,0.3501881062984466,0.8732666666666666,-0.026488888888889,0.7912980000000001,-0.1429659999999999,0.2323999999999999
imdb,noniid,4,123,1,1,0.7682,0.1513999999999999,0.5946368133298621,-0.1861673371240938,0.4765021502971649,0.1185262501239776,0.8732666666666666,-0.0188666666666665,0.7912980000000001,-0.0827659999999999,0.1513999999999999
imdb,noniid,4,123,1,2,0.7682,0.1685999999999999,0.5946368133298621,-0.2145693240950879,0.4765021502971649,0.2088893949985504,0.8732666666666666,-0.0737777777777777,0.7912980000000001,-0.0904359999999999,0.1685999999999999
imdb,noniid,4,123,1,3,0.7682,-0.0769999999999999,0.5946368133298621,0.1114375705470887,0.4765021502971649,0.0327790081501007,0.8732666666666666,0.0359777777777778,0.7912980000000001,0.034084,-0.0769999999999999
imdb,noniid,4,123,2,0,0.82,0.1121999999999999,0.552439024390244,-0.1045262200290835,0.3934274315834045,0.2014229297637939,0.8459333333333334,-0.038533333333333,0.780598,-0.035278,0.1121999999999999
