dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,l1o_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_l1o_loss,global_l1o_acc
cifar,noniid,20,42,3,15,0.9981639981269836,-0.0011680126190185,0.9366602687140116,-0.0362079483402519,1.0,0.0,0.7505555555555554,0.0031777777777775,,0.9906151608233638,-0.0051396096365969,0.0051396096365969,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0127856731414794,0.0011999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,16,0.9981639981269836,0.001035988330841,0.9366602687140116,0.1755812706407937,1.0,0.0,0.7505555555555554,-0.0188000000000001,,0.9906151608233638,0.0137080241351772,0.0137080241351772,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0332405567169189,-0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,17,0.9981639981269836,-0.001550018787384,0.9366602687140116,-0.0613942059941596,1.0,0.0,0.7505555555555554,0.005222222222222,,0.9906151608233638,-0.0086356009631302,0.0086356009631302,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0122961997985839,0.0017999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,18,0.9981639981269836,-0.0016360282897949,0.9366602687140116,-0.0613942059941596,1.0,0.0,0.7505555555555554,-0.0113111111111112,,0.9906151608233638,-0.0088345194364254,0.0088345194364254,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0130960941314697,0.0017999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,19,0.9981639981269836,-0.0011119842529296,0.9366602687140116,-0.0439598863247481,1.0,0.0,0.7505555555555554,-0.0036,,0.9906151608233638,-0.0070714434262683,0.0070714434262683,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0167236328125,0.0011999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,4,0,0.9460219740867616,-0.0416780114173889,0.3657770800627943,-0.4166726457141709,1.0,0.0,0.7594666666666667,-0.0040444444444445,,0.9690625425541342,-0.0149047231335378,0.0149047231335378,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0182321071624755,0.0208,2.6883978843688965,0.1348
cifar,noniid,20,42,4,1,0.9460219740867616,-0.0297780036926269,0.3657770800627943,-0.1877943485086342,1.0,0.0,0.7594666666666667,-0.0205777777777775,,0.9690625425541342,-0.0059041029361086,0.0059041029361086,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0134162902832031,0.0176,2.6883978843688965,0.1348
cifar,noniid,20,42,4,2,0.9460219740867616,-0.032908022403717,0.3657770800627943,-0.2454313262419341,1.0,0.0,0.7594666666666667,-0.0478888888888888,,0.9690625425541342,-0.0072358455953626,0.0072358455953626,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0072827339172363,0.0156,2.6883978843688965,0.1348
cifar,noniid,20,42,4,3,0.9460219740867616,-0.0235620141029357,0.3657770800627943,-0.164628325342611,1.0,0.0,0.7594666666666667,0.0014222222222222,,0.9690625425541342,-0.0007989113164965,0.0007989113164965,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0176119804382324,0.0093999999999999,2.6883978843688965,0.1348
cifar,noniid,20,42,4,4,0.9460219740867616,-0.0372840166091918,0.3657770800627943,-0.2888341315104425,1.0,0.0,0.7594666666666667,-0.038,,0.9690625425541342,-0.0124547752879558,0.0124547752879558,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0090401172637939,0.0208,2.6883978843688965,0.1348
